epoch,split,loss,acc,f1,auc
1,train,0.12301064606933057,0.9496020497165286,,
1,valid,0.04710871725462172,0.9832097688617532,0.9976188647361548,0.9998889581389453
1,train,0.17863316321319048,0.9310537505451374,,
1,valid,0.08896805351860805,0.9757959005669429,0.9976188647361548,0.9998889581389453
1,test,0.303249135668139,0.9141321447299423,0.757396449704142,0.9536394622860173
1,train,0.1512742332181606,0.9422699520279111,,
1,valid,0.10385736205395371,0.9741604884430877,0.9976188647361548,0.9998889581389453
1,train,0.15654372562143776,0.9390263846489315,,
1,valid,0.08352854711763524,0.9756868730920192,0.9976188647361548,0.9998889581389453
1,train,0.18865522004036836,0.9198784343654601,,
1,valid,0.07680913778830188,0.9751962494548626,0.9976188647361548,0.9998889581389453
1,train,0.16268800965981858,0.9389582424771042,,
1,valid,0.07293104618215894,0.9744330571303969,0.9976188647361548,0.9998889581389453
2,train,0.03249388169389619,0.9883613170518971,,
2,valid,0.02575515797030712,0.9908962058438726,0.9976188647361548,0.9998889581389453
2,train,0.060088808128303195,0.97763573920628,,
2,valid,0.047955042829211494,0.9828826864369821,0.9976188647361548,0.9998889581389453
2,train,0.06381626113050248,0.9763137810728304,,
2,valid,0.049063427043965796,0.980865678150894,0.9976188647361548,0.9998889581389453
2,train,0.0642793514265005,0.9769134321849106,,
2,valid,0.05365443545260832,0.9852812908853031,0.9976188647361548,0.9998889581389453
2,train,0.05932428889834382,0.978344417793284,,
2,valid,0.05170218572077393,0.9809747056258177,0.9976188647361548,0.9998889581389453
3,train,0.021177306318385717,0.9926406454426515,,
3,valid,0.027127544873979347,0.9916593981683384,0.9976188647361548,0.9998889581389453
3,train,0.0436009614703717,0.9834005669428696,,
3,valid,0.052497324821727274,0.9742695159180114,0.9976188647361548,0.9998889581389453
3,train,0.041824892011068586,0.984477213257741,,
3,valid,0.04134908216045678,0.9811927605756651,0.9976188647361548,0.9998889581389453
3,train,0.042476217701707834,0.9847634103794156,,
3,valid,0.0501832575283415,0.9791212385521151,0.9976188647361548,0.9998889581389453
3,train,0.042907951766800914,0.9847906672481466,,
3,valid,0.0403789616979064,0.9841910161360663,0.9976188647361548,0.9998889581389453
4,train,0.015378438107565479,0.9948893371129525,,
4,valid,0.02533305866215898,0.9913323157435674,0.9976188647361548,0.9998889581389453
4,train,0.03190547904261456,0.988388573920628,,
4,valid,0.031108046635620643,0.9908416921064108,0.9976188647361548,0.9998889581389453
4,train,0.03339246554339079,0.987380069777584,,
4,valid,0.035845144560850584,0.9908416921064108,0.9976188647361548,0.9998889581389453
4,train,0.0354440577396846,0.9872574138682948,,
4,valid,0.031278880971422555,0.989424334932403,0.9976188647361548,0.9998889581389453
4,train,0.03361796469493037,0.9881841474051462,,
4,valid,0.029904774286590493,0.9888246838203227,0.9976188647361548,0.9998889581389453
5,train,0.011518209504883388,0.9962112952464021,,
5,valid,0.02038935744744834,0.9930767553423463,0.9976188647361548,0.9998889581389453
5,train,0.030334664289120666,0.9893153074574793,,
5,valid,0.03248619842897439,0.9906236371565634,0.9976188647361548,0.9998889581389453
5,train,0.02848102209836832,0.9894515918011338,,
5,valid,0.03244077016380557,0.9847361535106847,0.9976188647361548,0.9998889581389453
5,train,0.027253689647350025,0.9901193850850414,,
5,valid,0.02907196918382227,0.9877889228085478,0.9976188647361548,0.9998889581389453
5,train,0.0285698631131932,0.9901602703881378,,
5,valid,0.02801578431855278,0.9894788486698648,0.9976188647361548,0.9998889581389453
6,train,0.010223274359730122,0.9967428041866551,,
6,valid,0.0167572622362744,0.9952573048408199,0.9976188647361548,0.9998889581389453
6,train,0.02497878167783838,0.991141517662451,,
6,valid,0.024400303369965542,0.9910052333187963,0.9976188647361548,0.9998889581389453
6,train,0.02366863118590319,0.9915367422590493,,
6,valid,0.02665560534583365,0.9912232882686437,0.9976188647361548,0.9998889581389453
6,train,0.0274911251972477,0.990282926297427,,
6,valid,0.02357494420214766,0.9916593981683384,0.9976188647361548,0.9998889581389453
6,train,0.02444623373827592,0.9913595726122983,,
6,valid,0.022566208620468375,0.9932948102921937,0.9976188647361548,0.9998889581389453
7,train,0.008403337120371675,0.9970562581770607,,
7,valid,0.014455374915861942,0.995584387265591,0.9976188647361548,0.9998889581389453
7,train,0.02262436427594647,0.9915776275621456,,
7,valid,0.021570854331600258,0.9908416921064108,0.9976188647361548,0.9998889581389453
7,train,0.02073113282176703,0.9924498473615351,,
7,valid,0.024135491155299962,0.9926406454426515,0.9976188647361548,0.9998889581389453
7,train,0.022116130453697803,0.9919183384212822,,
7,valid,0.033029492647424455,0.9923680767553423,0.9976188647361548,0.9998889581389453
7,train,0.02307358630295198,0.9920818796336677,,
7,valid,0.025217607468317884,0.9895333624073267,0.9976188647361548,0.9998889581389453
8,train,0.007870019396108827,0.9974923680767553,,
8,valid,0.01381265615921133,0.995529873528129,0.9976188647361548,0.9998889581389453
8,train,0.018699951820679978,0.9934447230702137,,
8,valid,0.021832057166433574,0.9913868294810292,0.9976188647361548,0.9998889581389453
8,train,0.02045292416877368,0.9924362189271696,,
8,valid,0.025698095245249863,0.991822939380724,0.9976188647361548,0.9998889581389453
8,train,0.02101714783006208,0.9927496729175752,,
8,valid,0.023932944169910556,0.9906781508940253,0.9976188647361548,0.9998889581389453
8,train,0.019014983024358598,0.9931312690798081,,
8,valid,0.01749344916390381,0.9952573048408199,0.9976188647361548,0.9998889581389453
9,train,0.007662077741077261,0.9974923680767553,,
9,valid,0.012157350572999798,0.996947230702137,0.9976188647361548,0.9998889581389453
9,train,0.01761426477464506,0.9938808329699084,,
9,valid,0.017050684706197878,0.9936764064544266,0.9976188647361548,0.9998889581389453
9,train,0.017551599986499203,0.9936355211513301,,
9,valid,0.019621539940469446,0.9940580026166594,0.9976188647361548,0.9998889581389453
9,train,0.019584103482824636,0.9929949847361536,,
9,valid,0.019358707394142628,0.9916593981683384,0.9976188647361548,0.9998889581389453
9,train,0.01788915465949146,0.993362952464021,,
9,valid,0.020792730810533764,0.9940580026166594,0.9976188647361548,0.9998889581389453
10,train,0.006334059948901811,0.9978875926733537,,
10,valid,0.012266472398302536,0.9959659834278238,0.9976188647361548,0.9998889581389453
10,test,0.269292787163755,0.9552962768746722,0.757396449704142,0.9536394622860173
10,train,0.01664160563268762,0.994167030091583,,
10,valid,0.01770138599064219,0.9931312690798081,0.9976188647361548,0.9998889581389453
10,test,0.19972578379698927,0.9608023072889355,0.757396449704142,0.9536394622860173
10,train,0.01702039915584174,0.9936218927169647,,
10,valid,0.03713203213278958,0.9914413432184911,0.9976188647361548,0.9998889581389453
10,test,0.15991674537729428,0.9619821709491347,0.757396449704142,0.9536394622860173
10,train,0.017605082088679006,0.9940034888791975,,
10,valid,0.019987971857401334,0.9917139119058003,0.9976188647361548,0.9998889581389453
10,test,0.24063266551260462,0.9525432616675407,0.757396449704142,0.9536394622860173
10,train,0.015897726798938798,0.9938944614042738,,
10,valid,0.01876207079201335,0.9922590492804186,0.9976188647361548,0.9998889581389453
10,test,0.3357852536157056,0.9463817514420556,0.757396449704142,0.9536394622860173
